ISO3;Year;Drought;Extreme Temperature;Flood;Landslide;Storm;Wildfire;TOTAL
AFG;1980;;;1;;;;1
AFG;1981;;;;;;;
AFG;1982;;;;;;;
AFG;1983;;;;;;;
AFG;1984;;;;;;;
AFG;1985;;;;;;;
AFG;1986;;;;;;;
AFG;1987;;;;1;;;1
AFG;1988;;;1;;;;1
AFG;1989;;;;;;;
AFG;1990;;1;;;;;1
AFG;1991;;1;3;;;;4
AFG;1992;;;2;;;;2
AFG;1993;;;;2;1;;3
AFG;1994;;;;;;;
AFG;1995;;;2;1;;;3
AFG;1996;;;1;;;;1
AFG;1997;;;2;1;;;3
AFG;1998;;;1;1;;;2
AFG;1999;;;1;;;1;2
AFG;2000;1;;;;;;1
AFG;2001;;2;;;;;2
AFG;2002;;;4;1;;;5
AFG;2003;;;8;;;;8
AFG;2004;;;2;;;;2
AFG;2005;;1;8;;1;;10
AFG;2006;1;;7;2;2;;12
AFG;2007;;;7;;;;7
AFG;2008;1;1;1;;;;3
AFG;2009;;;3;1;;;4
AFG;2010;;;2;2;;;4
AFG;2011;1;;2;;1;;4
AFG;2012;;1;6;3;;;10
AFG;2013;;;4;1;;;5
AFG;2014;;;2;;1;;3
AFG;2015;;;1;4;;;5
AFG;2016;;;4;;;;4
AFG;2017;;;1;2;2;;5
AFG;2018;1;;3;1;;;5
AFG;2019;;;6;1;;;7
AFG;2020;;;5;1;1;;7
AFG;2021;1;;2;1;;;4
AFG;2022;;;5;1;;;6
AGO;1980;;;;;;;
AGO;1981;1;;;;;;1
AGO;1982;;;;;;;
AGO;1983;;;;;;;
AGO;1984;;;;;;;
AGO;1985;1;;;;;;1
AGO;1986;;;;;;;
AGO;1987;;;;;;;
AGO;1988;;;;;;;
AGO;1989;1;;1;;;;2
AGO;1990;;;;;;;
AGO;1991;;;;;;;
AGO;1992;;;;;;;
AGO;1993;;;;;;;
AGO;1994;;;;;;;
AGO;1995;;;;;;;
AGO;1996;;;;;;;
AGO;1997;1;;;;;;1
AGO;1998;;;;;;;
AGO;1999;;;;;;;
AGO;2000;;;4;1;;;5
AGO;2001;1;;2;;;;3
AGO;2002;;;1;;;;1
AGO;2003;;;2;;;;2
AGO;2004;1;;3;;;;4
AGO;2005;;;1;;;;1
AGO;2006;;;1;;;;1
AGO;2007;;;2;;;;2
AGO;2008;;;1;;;;1
AGO;2009;;;3;;;;3
AGO;2010;;;3;;;;3
AGO;2011;;;4;;;;4
AGO;2012;1;;;;;;1
AGO;2013;;;1;;;;1
AGO;2014;;;;;;;
AGO;2015;;;3;;;;3
AGO;2016;;;4;;;;4
AGO;2017;1;;1;;;;2
AGO;2018;;;1;;;;1
AGO;2019;;;3;;;;3
AGO;2020;1;;2;;;;3
AGO;2021;;;2;;;;2
AGO;2022;;;;;;;
AIA;1980;;;;;;;
AIA;1981;;;;;;;
AIA;1982;;;;;;;
AIA;1983;;;;;;;
AIA;1984;;;;;;;
AIA;1985;;;;;;;
AIA;1986;;;;;;;
AIA;1987;;;;;;;
AIA;1988;;;;;;;
AIA;1989;;;;;;;
AIA;1990;;;;;;;
AIA;1991;;;;;;;
AIA;1992;;;;;;;
AIA;1993;;;;;;;
AIA;1994;;;;;;;
AIA;1995;;;;;;;
AIA;1996;;;;;;;
AIA;1997;;;;;;;
AIA;1998;;;;;;;
AIA;1999;;;;;1;;1
AIA;2000;;;;;;;
AIA;2001;;;;;;;
AIA;2002;;;;;;;
AIA;2003;;;;;;;
AIA;2004;;;;;;;
AIA;2005;;;;;;;
AIA;2006;;;;;;;
