ISO3;Type;ForestArea;ForestExtent;LandArea;ShareForest;CarbonStocksForests;ICarbonStocksForests
ABW    ;1992;0.42;100;18;2.333;;
ABW    ;1993;0.42;100;18;2.333;;
ABW    ;1994;0.42;100;18;2.333;;
ABW    ;1995;0.42;100;18;2.333;;
ABW    ;1996;0.42;100;18;2.333;;
ABW    ;1997;0.42;100;18;2.333;;
ABW    ;1998;0.42;100;18;2.333;;
ABW    ;1999;0.42;100;18;2.333;;
ABW    ;2000;0.42;100;18;2.333;;
ABW    ;2001;0.42;100;18;2.333;;
ABW    ;2002;0.42;100;18;2.333;;
ABW    ;2003;0.42;100;18;2.333;;
ABW    ;2004;0.42;100;18;2.333;;
ABW    ;2005;0.42;100;18;2.333;;
ABW    ;2006;0.42;100;18;2.333;;
ABW    ;2007;0.42;100;18;2.333;;
ABW    ;2008;0.42;100;18;2.333;;
ABW    ;2009;0.42;100;18;2.333;;
ABW    ;2010;0.42;100;18;2.333;;
ABW    ;2011;0.42;100;18;2.333;;
ABW    ;2012;0.42;100;18;2.333;;
ABW    ;2013;0.42;100;18;2.333;;
ABW    ;2014;0.42;100;18;2.333;;
ABW    ;2015;0.42;100;18;2.333;;
ABW    ;2016;0.42;100;18;2.333;;
ABW    ;2017;0.42;100;18;2.333;;
ABW    ;2018;0.42;100;18;2.333;;
ABW    ;2019;0.42;100;18;2.333;;
ABW    ;2020;0.42;100;18;2.333;;
AFG    ;1992;1208.44;100;65223;1.853;;
AFG    ;1993;1208.44;100;65223;1.853;;
AFG    ;1994;1208.44;100;65223;1.853;;
AFG    ;1995;1208.44;100;65223;1.853;;
AFG    ;1996;1208.44;100;65223;1.853;;
AFG    ;1997;1208.44;100;65223;1.853;;
AFG    ;1998;1208.44;100;65223;1.853;;
AFG    ;1999;1208.44;100;65223;1.853;;
AFG    ;2000;1208.44;100;65223;1.853;;
AFG    ;2001;1208.44;100;65223;1.853;;
AFG    ;2002;1208.44;100;65223;1.853;;
AFG    ;2003;1208.44;100;65223;1.853;;
AFG    ;2004;1208.44;100;65223;1.853;;
AFG    ;2005;1208.44;100;65223;1.853;;
AFG    ;2006;1208.44;100;65223;1.853;;
AFG    ;2007;1208.44;100;65223;1.853;;
AFG    ;2008;1208.44;100;65223;1.853;;
AFG    ;2009;1208.44;100;65223;1.853;;
AFG    ;2010;1208.44;100;65223;1.853;;
AFG    ;2011;1208.44;100;65223;1.853;;
AFG    ;2012;1208.44;100;65223;1.853;;
AFG    ;2013;1208.44;100;65223;1.853;;
AFG    ;2014;1208.44;100;65223;1.853;;
AFG    ;2015;1208.44;100;65223;1.853;;
AFG    ;2016;1208.44;100;65223;1.853;;
AFG    ;2017;1208.44;100;65223;1.853;;
AFG    ;2018;1208.44;100;65223;1.853;;
AFG    ;2019;1208.44;100;65223;1.853;;
AFG    ;2020;1208.44;100;65223;1.853;;
AGO    ;1992;78951.946;100;124670;63.329;1364.29;100
AGO    ;1993;78796.529;99.803;124670;63.204;1361.604;99.803
AGO    ;1994;78641.112;99.606;124670;63.079;1358.918;99.606
AGO    ;1995;78485.695;99.409;124670;62.955;1356.233;99.409
AGO    ;1996;78330.278;99.213;124670;62.83;1353.547;99.213
AGO    ;1997;78174.861;99.016;124670;62.705;1350.862;99.016
AGO    ;1998;78019.444;98.819;124670;62.581;1348.176;98.819
AGO    ;1999;77864.027;98.622;124670;62.456;1345.49;98.622
AGO    ;2000;77708.61;98.425;124670;62.331;1342.805;98.425
AGO    ;2001;77153.549;97.722;124670;61.886;1333.213;97.722
AGO    ;2002;76598.488;97.019;124670;61.441;1323.622;97.019
AGO    ;2003;76043.427;96.316;124670;60.996;1314.03;96.316
AGO    ;2004;75488.366;95.613;124670;60.551;1304.439;95.613
AGO    ;2005;74933.305;94.91;124670;60.105;1294.848;94.91
AGO    ;2006;74378.244;94.207;124670;59.66;1285.256;94.207
AGO    ;2007;73823.183;93.504;124670;59.215;1275.665;93.504
AGO    ;2008;73268.122;92.801;124670;58.77;1266.073;92.801
AGO    ;2009;72713.061;92.098;124670;58.324;1256.482;92.098
AGO    ;2010;72158;91.395;124670;57.879;1246.89;91.395
AGO    ;2011;71602.938;90.692;124670;57.434;1237.299;90.692
AGO    ;2012;71047.876;89.989;124670;56.989;1227.707;89.989
AGO    ;2013;70492.814;89.286;124670;56.544;1218.116;89.286
AGO    ;2014;69937.752;88.583;124670;56.098;1208.524;88.583
AGO    ;2015;69382.69;87.88;124670;55.653;1198.933;87.88
AGO    ;2016;68827.62;87.177;124670;55.208;1189.341;87.177
AGO    ;2017;68272.57;86.474;124670;54.763;1179.75;86.474
AGO    ;2018;67717.51;85.771;124670;54.317;1170.159;85.771
AGO    ;2019;67162.44;85.067;124670;53.872;1160.567;85.067
AGO    ;2020;66607.38;84.364;124670;53.427;1150.976;84.364
AIA    ;1992;5.5;100;9;61.111;0.695;100
AIA    ;1993;5.5;100;9;61.111;0.695;100
AIA    ;1994;5.5;100;9;61.111;0.695;100
AIA    ;1995;5.5;100;9;61.111;0.695;100
AIA    ;1996;5.5;100;9;61.111;0.695;100
AIA    ;1997;5.5;100;9;61.111;0.695;100
AIA    ;1998;5.5;100;9;61.111;0.695;100
AIA    ;1999;5.5;100;9;61.111;0.695;100
AIA    ;2000;5.5;100;9;61.111;0.695;100
AIA    ;2001;5.5;100;9;61.111;0.695;100
AIA    ;2002;5.5;100;9;61.111;0.695;100
AIA    ;2003;5.5;100;9;61.111;0.695;100
AIA    ;2004;5.5;100;9;61.111;0.695;100
AIA    ;2005;5.5;100;9;61.111;0.695;100
AIA    ;2006;5.5;100;9;61.111;0.695;100
AIA    ;2007;5.5;100;9;61.111;0.695;100
AIA    ;2008;5.5;100;9;61.111;0.695;100
AIA    ;2009;5.5;100;9;61.111;0.695;100
AIA    ;2010;5.5;100;9;61.111;0.695;100
AIA    ;2011;5.5;100;9;61.111;0.695;100
AIA    ;2012;5.5;100;9;61.111;0.695;100
AIA    ;2013;5.5;100;9;61.111;0.695;100
AIA    ;2014;5.5;100;9;61.111;0.695;100
AIA    ;2015;5.5;100;9;61.111;0.695;100
AIA    ;2016;5.5;100;9;61.111;0.695;100
AIA    ;2017;5.5;100;9;61.111;0.695;100
AIA    ;2018;5.5;100;9;61.111;0.695;100
AIA    ;2019;5.5;100;9;61.111;0.695;100
AIA    ;2020;5.5;100;9;61.111;0.695;100
ALB    ;1992;784.9;100;2740;28.646;;
ALB    ;1993;782.95;99.752;2740;28.575;;
ALB    ;1994;781;99.503;2740;28.504;;
ALB    ;1995;779.05;99.255;2740;28.432;;
ALB    ;1996;777.1;99.006;2740;28.361;;
ALB    ;1997;775.15;98.758;2740;28.29;;
ALB    ;1998;773.2;98.509;2740;28.219;;
ALB    ;1999;771.25;98.261;2740;28.148;;
ALB    ;2000;769.3;98.012;2740;28.077;;
ALB    ;2001;770.577;98.175;2740;28.123;;
ALB    ;2002;771.854;98.338;2740;28.17;;
ALB    ;2003;773.131;98.501;2740;28.216;;
ALB    ;2004;774.408;98.663;2740;28.263;;
ALB    ;2005;775.685;98.826;2740;28.31;;
ALB    ;2006;776.962;98.989;2740;28.356;;
ALB    ;2007;778.239;99.151;2740;28.403;;
ALB    ;2008;779.516;99.314;2740;28.449;;
ALB    ;2009;780.793;99.477;2740;28.496;;
ALB    ;2010;782.07;99.639;2740;28.543;;
ALB    ;2011;783.494;99.821;2740;28.595;;
ALB    ;2012;784.917;100.002;2740;28.647;;
ALB    ;2013;786.341;100.184;2740;28.699;;
ALB    ;2014;787.764;100.365;2740;28.751;;
ALB    ;2015;789.188;100.546;2740;28.802;;
ALB    ;2016;789.18;100.545;2740;28.802;;
ALB    ;2017;788.903;100.51;2740;28.792;;
ALB    ;2018;788.9;100.51;2740;28.792;;
ALB    ;2019;788.9;100.51;2740;28.792;;
ALB    ;2020;788.9;100.51;2740;28.792;;
AND    ;1992;16;100;47;34.043;1.39;100
AND    ;1993;16;100;47;34.043;1.39;100
AND    ;1994;16;100;47;34.043;1.39;100
AND    ;1995;16;100;47;34.043;1.39;100
AND    ;1996;16;100;47;34.043;1.39;100
AND    ;1997;16;100;47;34.043;1.39;100
AND    ;1998;16;100;47;34.043;1.39;100
AND    ;1999;16;100;47;34.043;1.39;100
AND    ;2000;16;100;47;34.043;1.39;100
AND    ;2001;16;100;47;34.043;1.39;100
AND    ;2002;16;100;47;34.043;1.39;100
AND    ;2003;16;100;47;34.043;1.39;100
AND    ;2004;16;100;47;34.043;1.39;100
AND    ;2005;16;100;47;34.043;1.39;100
AND    ;2006;16;100;47;34.043;1.39;100
AND    ;2007;16;100;47;34.043;1.39;100
AND    ;2008;16;100;47;34.043;1.39;100
AND    ;2009;16;100;47;34.043;1.39;100
AND    ;2010;16;100;47;34.043;1.39;100
AND    ;2011;16;100;47;34.043;1.39;100
AND    ;2012;16;100;47;34.043;1.39;100
