ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
1,Advanced Economies,,AETMP,Carbon stocks in forests,Million tonnes,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,52618.6601,53177.6998,53393.5688,53609.4382,53825.3073,54041.1769,54257.0465,54472.9153,54755.4274,54931.2242,55107.0214,55282.8181,55458.6155,55634.4123,55562.6288,55727.5842,55892.5399,56057.4956,56222.4507,56445.5501,56668.6489,56891.748,57114.8466,57337.9461,57568.1744,57777.8499,57959.7625,58035.0513,58102.5521
2,Advanced Economies,,AETMP,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,945840.6089,950628.7545,950883.6399,951138.5255,951393.4111,951648.2965,951903.1821,952158.0675,953166.9531,953722.117,954277.2811,954832.4451,955387.6092,955942.7732,953139.5372,953649.3013,954159.0653,954668.8294,955178.5934,956338.5036,957498.4138,958658.324,959818.2342,960978.1444,962013.8455,961845.12,961963.71,962100.59,962252.19
3,Advanced Economies,,AETMP,Index of carbon stocks in forests,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,101.062436213574,101.472688013202,101.882940573015,102.293192562689,102.703445502597,103.113698442504,103.523949862038,104.060854639664,104.394950566216,104.729047252954,105.063142989458,105.397240056289,105.731335982841,105.594913846923,105.908406056125,106.221898835467,106.535391614809,106.848883253871,107.27287618637,107.69686797859,108.12086034095,108.544851753076,108.968844875622,109.406386043646,109.804867304099,110.150586103579,110.293669944667,110.42195295277
4,Advanced Economies,,AETMP,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,100.506231764099,100.533179792932,100.56012784291,100.587075892888,100.614023921721,100.640971971699,100.667920000532,100.77458549898,100.833280790213,100.891976102592,100.950671404398,101.009366716777,101.068062018584,100.771686923919,100.825582273221,100.879477611949,100.933372961251,100.987268299979,101.109901034193,101.232533768407,101.355166502621,101.477799236835,101.600431971049,101.709932566631,101.692093884467,101.704631937801,101.719103720754,101.735131791295
5,Advanced Economies,,AETMP,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,2986568.57,2999104.57,2999103.57,2999102.57,2999091.47,2999087.37,2999084.27,2999080.17,3002819.416,3002842.316,3002843.716,3002871.816,3002837.916,3002838.716,2992589.116,2992586.116,2991119.736,2991120.696,2991130.036,2991125.816,2991135.986,2991273.112,2991270.916,2991273.243,2992294.086,2992223.723,2992281.153,2992285.698,2992205.5952
6,Advanced Economies,,AETMP,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,31.6698105779637,31.6970859905695,31.7055952789253,31.7141045796243,31.7227207178179,31.7312628508052,31.7397944306513,31.7483366074872,31.7424000930997,31.7606459692637,31.7791191068433,31.7973094959442,31.8161564468537,31.834635943198,31.8499967838552,31.8670629460342,31.8997281792533,31.9167605197834,31.9337033797885,31.9725268153013,32.0111963575567,32.0485053723172,32.0873054013941,32.1260569106759,32.1497091479397,32.1448263579588,32.148172608565,32.1526982080305,32.1586254481849
7,"Afghanistan, Islamic Rep. of",AF,AFG,Forest area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44,1208.44
8,"Afghanistan, Islamic Rep. of",AF,AFG,Index of forest extent,Index,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
9,"Afghanistan, Islamic Rep. of",AF,AFG,Land area,1000 HA,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223,65223
10,"Afghanistan, Islamic Rep. of",AF,AFG,Share of forest area,Percent,"Food and Agriculture Organization of the United Nations (FAO), 2022. FAO, 2022 FAOSTAT Land, Inputs and Sustainability, Land Use http://www.fao.org/faostat/en/#data/RL, Rome, FAO. Accessed on: 03-28-2023; IMF staff calculations.",,,,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184,1.85278199408184
