ObjectId,Country,ISO2,ISO3,Indicator,Unit,Source,CTS_Code,CTS_Name,CTS_Full_Descriptor,Climate_Influence,F1992,F1993,F1994,F1995,F1996,F1997,F1998,F1999,F2000,F2001,F2002,F2003,F2004,F2005,F2006,F2007,F2008,F2009,F2010,F2011,F2012,F2013,F2014,F2015,F2016,F2017,F2018,F2019,F2020
1,Advanced Economies,,AETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,95.9420159468922,97.0275167160345,97.0304926589492,97.3397311787446,97.4621648960902,97.5297035535912,97.6914460258442,98.1448634704181,98.8595755204091,99.0609153263638,99.2902398574214,99.4095526839315,99.5726802342228,99.6056553755435,99.5837311928467,99.5662390603175,99.6526266201567,99.6845661024184,99.7050252707885,99.9032331016004,99.9631050824841,99.9787103547949,99.9962851519037,100,100.010114271891,100.076907370122,100.2290955002,100.355972402582,100.394187638039
2,Advanced Economies excluding US,,EAEUSTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,94.8514142893138,96.8006584667627,96.7671060812294,97.0900486131033,97.1728063939299,97.2187355910687,97.3190204952384,97.9163999880772,98.9565283127113,99.1169846768647,99.4224972479525,99.5629611196785,99.8079632207025,99.8124504774727,99.737711081749,99.6451373207676,99.7401773854882,99.7693548178381,99.7498916648951,100.051717531363,100.104101101746,100.069837176838,100.032246201022,100,99.9790348135962,100.007709371933,99.9954667414147,100.020988191011,100.058737082813
3,Africa,,AFRTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,91.5906972057574,93.5570084862894,93.5001344551909,94.2661843216532,94.5325987387233,94.9149100359829,95.300059742021,96.3448894399624,96.8260271281355,97.1344835357202,97.5695492917301,97.7871113039356,98.1814797655993,98.1994305830318,98.3621599467014,98.4115841198611,98.7331061181732,98.6728054349498,98.5884299910119,98.7939838080598,100.076777208612,100.086538766892,99.972989455796,100,99.8402232505964,99.8027535106115,99.7253910169892,99.7588571942556,99.8645412009319
4,Americas,,AMETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,92.9245542320777,93.0232479352389,92.9401415782099,94.2630512193681,94.6329364235899,94.9024157594886,95.4058368663986,96.2681904097682,96.5060304215752,96.7111970666482,96.8213985915555,97.1880002006617,98.1495573133532,98.0389493179672,97.9838839609821,98.2182078720031,98.4076548403975,98.6359569413897,98.8873623503074,99.0258365909912,99.2875723962396,99.6472693466881,99.7840253540852,100,100.229617028928,100.753590497223,100.902233068622,100.997645343018,101.013419982381
5,Asia,,ASIATMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,100.417596610053,100.022962969405,99.578377154558,99.6134063358605,99.6215255915783,99.845211600293,100.065290812337,100.666319392073,101.200135945373,101.286534830391,101.318746729236,101.324715804151,101.485346584175,101.273735754418,100.962582878013,100.732497331711,100.646198238299,100.549251686525,100.379846674748,100.133256316115,99.9905727844317,99.9158969117096,100.009021406797,100,99.7235573650337,99.7292916435879,99.8477766656575,99.7090307217464,99.7308131945226
6,Emerging and Developing Countries Asia excluding China,,EMDEAECHTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,103.472846597981,103.079230942081,102.442142783782,102.524805704477,102.434605833253,102.685239866142,102.786112306136,102.759439822558,102.801504277746,102.447386882202,102.286679664093,102.333205722009,102.494766456438,102.079543358606,101.440684083785,101.100652934757,100.986298276848,100.728490917112,100.388033362993,100.189811243193,100.122639792229,100.000251935056,100.017246606265,100,99.7287593234503,99.6621349853585,99.7009510796264,99.4063710741296,99.3866842264303
7,Emerging and Developing Countries Europe,,EMDEETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,97.7740100321324,97.7826993955818,97.7230506341402,97.9021472657718,97.9377021911036,98.0940756774088,98.2042476725744,98.3874175530932,98.8496119413531,98.9172843258945,98.9789415451679,98.9552859438697,98.9145089938297,98.8610679364801,100.010146551603,99.9265062894067,99.9064663769587,99.8863924068763,99.933002956131,99.9531367770792,100.023345611185,100.010743452637,99.99699860948,100,99.809072078713,99.7778709494612,100.012690206113,100.204282144582,100.293014677242
8,Emerging and Developing Economies,,EMDETMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,96.9124552541823,96.8946941917147,96.6456265698239,97.236991234535,97.4056692799394,97.6880618949187,98.0154231806298,98.7632793329465,99.2177095071674,99.3660437618909,99.5052323787701,99.6540246969409,100.097705958358,99.9554554044426,100.028467640208,99.9893982996946,100.072677736042,100.081997460152,100.069235418535,100.046343043033,99.8236072546447,99.8952235750957,99.9360151430465,100,99.8787702080979,100.014160216741,100.086243812865,100.067131847993,100.116981192129
9,Europe,,EURTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,96.8058851572223,97.8214243457891,97.7603614543741,97.9667926463827,98.0281769910131,98.1160726767411,98.1740823999184,98.4038959897091,99.1137893130048,99.1394154097586,99.2884413144233,99.2872407095253,99.3357854175656,99.2859627741939,99.9997345562177,99.9312770519804,99.9538654047545,99.9191569160589,100.01840090661,100.076095414847,100.12540203392,100.108116805176,100.036500876354,100,99.8535145603557,99.8224048549432,99.9526266074348,100.091899222485,100.164712089708
10,Latin America and the Caribbean,,LACTMP,Climate Altering Land Cover Index,Index,"Food and Agriculture Organization of the United Nations (FAO). 2022. FAOSTAT Land, Inputs and sustainability, Land, Land Cover. License: CC BY-NC-SA 3.0 IGO. Extracted from: https://www.fao.org/faostat/en/#data/LC. Accessed on 2022-09-30; IMF staff calculations.",ECCCA,Climate Altering Land Cover Index,"Environment, Climate Change, Climate Indicators, Land Cover Accounts, Climate Altering Land Cover Index",Climate altering,89.1541922993323,89.3350949152633,89.155090057681,91.3036329589977,91.8708724366403,92.2862532451573,93.0100364663274,94.3813980486961,94.5776641573488,94.7640131302268,94.8680003369352,95.4620122535641,97.1483792496332,96.8999594116631,96.7698446980155,97.1413908441224,97.4345697846223,97.8226225191381,98.2232070728555,98.4390176494305,98.8635490584788,99.4598800132871,99.645725467754,100,100.367287199728,101.231118215053,101.231084167866,101.221873337666,101.217104059729
